"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Maastricht";"2003";"461";"115";"59";"-";"94";"67";"29";"2";"1";"2";"2";"9";".";".";"5";"16";"3";"-";"-";"4";"18";".";"26";"-";"1";"0";"10";"-";"0935";"Limburg";"Sterk stedelijk";"121982"
"Maastricht";"2004";"474";"130";"40";"-";"98";"71";"30";"2";"1";"2";"2";"10";".";".";"5";"19";"5";"-";"-";"3";"20";".";"27";"-";"0";"0";"9";"-";"0935";"Limburg";"Sterk stedelijk";"122183"
"Maastricht";"2005";"476";"132";"36";"-";"94";"76";"31";"1";"1";"2";"2";"10";".";".";"6";"17";"4";"-";"-";"4";"22";".";"27";"-";"1";"0";"9";"-";"0935";"Limburg";"Sterk stedelijk";"121456"
"Maastricht";"2006";"479";"131";"37";"-";"93";"80";"31";"2";"1";"2";"2";"10";".";".";"5";"18";"4";"-";"-";"4";"22";".";"27";"-";"0";"0";"8";"-";"0935";"Limburg";"Sterk stedelijk";"120175"
"Maastricht";"2007";"488";"134";"36";"-";"93";"85";"32";"1";"1";"2";"4";"5";"2";"-";"6";"16";"5";"-";"-";"4";"23";"-";"28";"-";"0";"0";"9";"-";"0935";"Limburg";"Sterk stedelijk";"119038"
"Maastricht";"2008";"486";"138";"34";"-";"93";"84";"33";"1";"1";"2";"5";"5";"2";"-";"6";"15";"5";"-";"-";"3";"22";"-";"27";"-";"0";"0";"8";"-";"0935";"Limburg";"Sterk stedelijk";"118004"
"Maastricht";"2009";"470";"130";"32";"-";"95";"79";"34";"1";"1";"1";"6";"9";"-";"-";"6";"17";"5";"-";"-";"3";"19";"-";"24";"-";"0";"0";"8";"-";"0935";"Limburg";"Sterk stedelijk";"118286"
"Maastricht";"2010";"455";"124";"32";"-";"89";"78";"33";"1";"1";"1";"6";"13";"-";"-";"5";"18";"5";"-";"-";"3";"18";"-";"21";"-";"0";"0";"6";"-";"0935";"Limburg";"Sterk stedelijk";"118533"
"Maastricht";"2011";"466";"119";"32";"-";"89";"74";"33";"1";"2";"2";"5";"14";"-";"-";"5";"17";"5";"-";"-";"3";"20";"-";"33";"-";"0";"0";"12";"-";"0935";"Limburg";"Sterk stedelijk";"119664"
"Maastricht";"2012*";"445";"114";"30";"-";"88";"69";"32";"1";"1";"2";"5";"13";"-";"-";"4";"17";"6";"-";"-";"2";"17";"-";"29";"-";"0";"0";"14";"-";"0935";"Limburg";"Sterk stedelijk";"121050"
"Margraten";"2002";"358";"95";"63";"-";"45";"78";"28";"2";"2";"1";"-";"-";".";".";".";"-";"-";"-";"-";"7";"29";".";"-";"-";"4";".";"-";"0";"0936";"Limburg";"Niet stedelijk";"13694"
"Margraten";"2003";"487";"95";"58";"7";"65";"92";"26";"2";"3";"0";"-";"-";".";".";"9";"26";"7";"-";"0";"10";"30";".";"54";"-";"4";"-";"-";"-";"0936";"Limburg";"Niet stedelijk";"13592"
"Margraten";"2004";"456";"99";"48";"-";"69";"92";"26";"2";"2";"-";"-";"-";".";".";"9";"30";".";"-";"1";"5";"24";".";"40";"-";"4";"0";"-";"1";"0936";"Limburg";"Niet stedelijk";"13551"
"Margraten";"2005";"491";"101";"57";"5";"68";"96";"26";"2";"1";"-";"-";"-";".";".";"13";"34";"12";"-";"-";"6";"27";".";"39";"-";"3";"0";"-";"2";"0936";"Limburg";"Niet stedelijk";"13497"
"Margraten";"2006";"507";"100";"52";"3";"44";"101";"26";"3";"2";"-";"-";"-";".";".";".";"68";"14";"-";"0";"6";"33";".";"43";"-";"3";"-";"-";"5";"0936";"Limburg";"Niet stedelijk";"13524"
"Margraten";"2007";"516";"102";"60";"6";"46";"99";"24";"9";"2";"-";"-";"-";"-";"4";"0";"79";"4";"-";"-";"6";"33";"-";"41";"-";"3";"-";"-";"-";"0936";"Limburg";"Niet stedelijk";"13521"
"Margraten";"2008";"492";"104";"60";"5";"46";"102";"20";"4";"2";"-";"-";"-";"-";"4";"5";"79";"5";"-";"-";"4";"48";"-";"-";"-";"2";"-";"-";"-";"0936";"Limburg";"Niet stedelijk";"13531"
"Margraten";"2009";"519";"102";"58";"-";"47";"99";"24";"4";"2";"-";"-";"6";"-";"6";"5";"81";"4";"-";"-";"5";"32";"-";"42";"-";"2";"-";"-";"-";"0936";"Limburg";"Niet stedelijk";"13345"
"Margraten";"2010";"499";"94";"53";"-";"48";"97";"20";"4";"2";"5";"0";"11";"-";"2";".";"76";"2";"-";"-";"-";"32";"-";"46";"-";"2";"0";"-";"-";"0936";"Limburg";"Niet stedelijk";"13404"
"Margraten";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Margraten";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"De Marne";"2002";"725";"296";"44";"-";"180";"75";"18";"3";"1";".";".";"-";".";".";".";"48";"-";".";"1";"2";"4";".";"41";"-";"3";"1";"-";"-";"1663";"Groningen";"Niet stedelijk";"11172"
"De Marne";"2003";"731";"302";"46";"-";"179";"63";"18";"3";"1";"-";"-";"-";".";".";"1";"63";"-";"-";"2";"3";"5";".";"39";"0";"4";"1";"-";"-";"1663";"Groningen";"Niet stedelijk";"11180"
"De Marne";"2004";"766";"311";"51";"-";"192";"73";"19";"3";"1";"-";"-";"-";".";".";"3";"56";"-";"-";"1";"2";"6";".";"44";"-";"3";"1";"-";"-";"1663";"Groningen";"Niet stedelijk";"11210"
"De Marne";"2005";"735";"319";"44";"-";"182";"74";"18";".";"1";"-";"-";"-";".";".";".";"47";"-";"-";"1";"1";"8";".";"31";"-";"2";"-";"-";"-";"1663";"Groningen";"Niet stedelijk";"11294"
"De Marne";"2006";"712";"272";"39";"-";"158";"84";"20";".";"1";"-";"-";"-";".";".";"1";"48";"-";"-";"1";"1";"5";".";"69";"-";"2";"-";"-";".";"1663";"Groningen";"Niet stedelijk";"11114"
"De Marne";"2007";"660";"229";"48";"-";"100";"87";"21";".";"1";"-";"-";"-";"-";"-";"2";"73";"-";"-";"1";"1";"22";"-";"67";"1";"2";"-";"-";"-";"1663";"Groningen";"Niet stedelijk";"10754"
"De Marne";"2008";"661";"240";"45";"-";"101";"95";"22";"4";"1";"-";"-";"-";"-";"-";"4";"104";"-";"-";"2";"1";"21";"-";"17";"1";"2";"-";"-";"-";"1663";"Groningen";"Niet stedelijk";"10696"
"De Marne";"2009";"661";"247";"43";"-";"104";"105";"21";"4";"1";"-";"-";"2";"-";"-";"4";"85";"-";"-";"2";"1";"17";"-";"23";"1";"2";"0";"-";"-";"1663";"Groningen";"Niet stedelijk";"10587"
"De Marne";"2010";"675";"245";"44";"-";"103";"90";"21";"4";"1";"-";"-";"-";"-";"-";"2";"114";"-";"-";"1";"1";"18";"-";"27";"1";"2";"0";"-";"-";"1663";"Groningen";"Niet stedelijk";"10527"
"De Marne";"2011";"621";"242";"36";"-";"103";"90";"20";"4";"1";"-";"-";"-";"-";"-";"2";"84";"-";"-";"1";"1";"9";"-";"26";"0";"1";"0";"-";"-";"1663";"Groningen";"Niet stedelijk";"10501"
"De Marne";"2012*";"620";"232";"32";"-";"101";"83";"21";"3";"1";"-";"-";"9";"-";"-";"3";"91";"-";"-";"2";"1";"11";"-";"30";"-";"0";"-";"-";"-";"1663";"Groningen";"Niet stedelijk";"10428"
"Marum";"2002";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0025";"Groningen";"Niet stedelijk";"10147"
"Marum";"2003";"649";"230";"38";"-";"125";"100";"19";"5";"1";"-";"-";"0";".";".";"3";"-";"-";"-";"2";"17";"51";".";"54";"-";"3";"1";"-";"-";"0025";"Groningen";"Niet stedelijk";"10310"
"Marum";"2004";"676";"233";"39";"0";"145";"102";"21";"4";"1";"-";"-";"1";".";".";"3";"-";"-";"1";"1";"15";"49";".";"51";"1";"2";"1";"-";"7";"0025";"Groningen";"Niet stedelijk";"10396"
"Marum";"2005";"708";"232";"28";"0";"145";"116";"24";"5";"1";"16";"4";"11";".";".";".";"-";"-";"1";"-";"5";"47";".";"53";"4";"2";"0";"-";".";"0025";"Groningen";"Niet stedelijk";"10086"
"Marum";"2006";"708";"229";"26";"-";"142";"119";"24";"5";"1";"19";"5";"14";".";".";".";"-";"-";"3";"1";"5";"44";".";"54";"2";"2";"1";"-";".";"0025";"Groningen";"Niet stedelijk";"10081"
"Marum";"2007";".";"215";"23";"49";"150";"131";"25";"6";"2";"19";"4";"24";"0";"-";".";".";"-";"4";"2";"6";"36";"2";"48";"2";"2";"1";"-";"-";"0025";"Groningen";"Niet stedelijk";"10066"
"Marum";"2008";".";"120";"17";"8";"81";"132";"30";"7";"1";"10";"3";"38";"-";"-";".";".";"-";"4";"1";"5";"31";"4";"46";"2";"2";"2";"-";"-";"0025";"Groningen";"Niet stedelijk";"10218"
"Marum";"2009";"571";"126";"15";"18";"64";"123";"27";"8";"0";"10";"3";"37";"1";"-";"3";"48";"-";"3";"1";"6";"28";"3";"41";"2";"2";"1";"-";"-";"0025";"Groningen";"Niet stedelijk";"10326"
"Marum";"2010";"553";"124";"13";"12";"57";"114";"32";"7";"1";"10";"3";"38";"-";"-";"3";"56";"-";"2";"1";"6";"32";"4";"34";"2";"1";"1";"-";"-";"0025";"Groningen";"Niet stedelijk";"10449"
"Marum";"2011";"557";"117";"16";"15";"59";"111";"29";"5";"1";"8";"5";"33";"-";"-";"3";"66";"-";"2";"1";"4";"33";"4";"39";"2";"1";"1";"-";"2";"0025";"Groningen";"Niet stedelijk";"10471"
"Marum";"2012*";"496";"121";"1";"15";"57";"106";"25";"6";"1";"-";"5";"32";"-";"-";"3";"43";"-";"2";"1";"12";"29";"3";"29";"1";"1";"0";"-";"1";"0025";"Groningen";"Niet stedelijk";"10413"
"Medemblik";"2002";"599";"249";"45";"-";"73";"79";"23";"4";"1";"-";"-";"-";".";".";"4";"31";"-";"0";"1";"9";"31";".";"37";"0";"1";"-";"8";"-";"0420";"Noord-Holland";"Weinig stedelijk";"7683"
"Medemblik";"2003";"599";"269";"41";"-";"68";"77";"25";"5";"1";"-";"-";"-";".";".";"4";"29";"-";"0";"1";"8";"29";".";"34";"0";"1";"0";"7";"-";"0420";"Noord-Holland";"Weinig stedelijk";"7902"
"Medemblik";"2004";"589";"235";"31";"-";"75";"80";"23";"5";"1";"-";"-";"-";".";".";"5";"31";"-";"0";"1";"8";"30";".";"40";"2";"1";"-";"10";"10";"0420";"Noord-Holland";"Weinig stedelijk";"8037"
"Medemblik";"2005";"606";"243";"32";"-";"69";"86";"28";"5";"1";"-";"-";"-";".";".";"6";"32";"-";"0";"1";"8";"31";".";"41";"1";"1";"-";"10";"10";"0420";"Noord-Holland";"Weinig stedelijk";"8047"
"Medemblik";"2006";"589";"246";"31";"-";"58";"83";"22";"6";"2";"-";"-";"-";".";".";"3";"31";"-";"-";"1";"10";"33";".";"42";"2";"1";"-";"9";"11";"0420";"Noord-Holland";"Weinig stedelijk";"8096"
"Medemblik";"2007";"638";"220";"34";"-";"106";"92";"22";".";"2";"-";"-";"-";"-";"-";"6";"37";"-";"-";"1";"10";"35";"7";"44";"2";"1";"-";"8";"5";"0420";"Noord-Holland";"Niet stedelijk";"26569"
"Medemblik";"2008";"632";"224";"32";"-";"113";"87";"19";".";"2";"-";"-";"-";"-";"-";"6";"32";"-";"-";"1";"9";"35";"5";"44";"1";"1";"-";"10";"5";"0420";"Noord-Holland";"Niet stedelijk";"26682"
"Medemblik";"2009";"636";"224";"30";"-";"116";"89";"18";".";"2";"-";"-";"1";"-";"-";"7";"33";"-";"-";"1";"8";"32";"5";"45";"1";"1";"-";"12";"6";"0420";"Noord-Holland";"Weinig stedelijk";"27017"
"Medemblik";"2010";"612";"206";"26";"-";"106";"84";"22";"3";"2";"-";"-";"6";"-";"-";"8";"37";"-";"-";"1";"5";"31";"5";"50";"1";"1";"-";"11";"6";"0420";"Noord-Holland";"Weinig stedelijk";"27384"
"Medemblik";"2011";"605";"208";"25";"-";"113";"85";"21";"4";"2";"-";"-";"6";"-";"-";"7";"33";"-";"-";"1";"6";"28";"4";"45";"1";"1";"-";"9";"4";"0420";"Noord-Holland";"Niet stedelijk";"42891"
"Medemblik";"2012*";"586";"203";"25";"-";"116";"79";"20";"4";"2";"-";"-";"7";"-";"-";"7";"30";"-";"-";"1";"7";"28";"4";"38";"1";"1";"0";"9";"4";"0420";"Noord-Holland";"Niet stedelijk";"43117"
"Meerlo-Wanssum";"2002";"467";"138";"25";"-";"79";"84";"24";"3";"2";"-";"-";"-";".";".";"4";"37";"8";"1";"1";"4";"16";".";"31";"-";"1";"-";"7";"-";"0993";"Limburg";"Niet stedelijk";"7673"
"Meerlo-Wanssum";"2003";"455";"137";"30";"-";"68";"78";"24";"3";"2";"-";"-";"-";".";".";"3";"42";"9";"2";"1";"4";"17";".";"29";"-";"1";"0";"7";"-";"0993";"Limburg";"Niet stedelijk";"7732"
"Meerlo-Wanssum";"2004";"464";"138";"28";"-";"65";"82";"27";"3";"1";"-";"-";"-";".";".";"4";"44";"9";"2";"1";"4";"17";".";"29";"-";"1";"0";"7";"-";"0993";"Limburg";"Niet stedelijk";"7728"
"Meerlo-Wanssum";"2005";"457";"137";"26";"-";"59";"78";"25";"5";"2";"-";"-";"-";".";".";"3";"49";"4";"2";"1";"4";"23";".";"31";"-";"1";"0";"6";"-";"0993";"Limburg";"Niet stedelijk";"7748"
"Meerlo-Wanssum";"2006";"457";"133";"27";"-";"56";"87";"25";"6";"2";"-";"-";"-";".";".";"2";"43";"2";"2";"1";"2";"23";".";"33";"2";"1";"0";"6";"3";"0993";"Limburg";"Niet stedelijk";"7692"
"Meerlo-Wanssum";"2007";"517";"140";"32";"-";"58";"82";"27";"8";"2";"-";"-";"-";"-";"34";"5";"48";"2";"2";"1";"4";"24";"3";"35";"2";"1";"0";"7";"-";"0993";"Limburg";"Niet stedelijk";"7660"
"Meerlo-Wanssum";"2008";"523";"137";"32";"-";"54";"79";"32";"9";"1";"-";"-";"-";"-";"34";"5";"50";"2";"2";"1";"5";"27";"4";"40";"2";"1";"0";"7";"-";"0993";"Limburg";"Niet stedelijk";"7672"
"Meerlo-Wanssum";"2009";"487";"135";"30";"-";"53";"75";"25";"9";"1";"-";"-";"-";"-";"33";"2";"39";"1";"2";"1";"5";"24";"3";"37";"2";"1";"0";"9";"-";"0993";"Limburg";"Niet stedelijk";"7767"
"Meerlo-Wanssum";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Meerlo-Wanssum";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Meerlo-Wanssum";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Meerssen";"2002";"619";"96";"59";"-";"215";"93";"27";"11";"1";"2";"2";"2";".";".";"2";"32";"3";"-";"-";"4";"18";".";"36";"-";"2";"-";"14";"-";"0938";"Limburg";"Weinig stedelijk";"20224"
"Meerssen";"2003";"625";"102";"52";"-";"200";"91";"27";"9";"1";"2";"1";"1";".";".";"5";"45";"3";"-";".";"4";"25";".";"42";"-";"2";"0";"12";"-";"0938";"Limburg";"Weinig stedelijk";"20039"
"Meerssen";"2004";"670";"108";"57";"-";"223";"96";"24";"10";"1";"2";"1";"1";".";".";"7";"52";"2";"-";".";"5";"27";".";"39";"-";"1";"0";"12";"-";"0938";"Limburg";"Weinig stedelijk";"19986"
"Meerssen";"2005";"661";"111";"58";"-";"213";"99";"19";"12";"1";"-";"-";"-";".";".";"6";"48";"3";"-";"-";"6";"28";".";"45";"-";"2";"0";"11";"-";"0938";"Limburg";"Weinig stedelijk";"19857"
"Meerssen";"2006";"677";"110";"61";"-";"217";"99";"20";"11";"2";"-";"-";"-";".";".";"5";"50";"4";"-";"-";"6";"28";".";"50";"-";"1";"0";"11";"-";"0938";"Limburg";"Weinig stedelijk";"19762"
"Meerssen";"2007";"681";"111";"52";"-";"225";"100";"18";"15";"2";"-";"-";"-";"-";"-";"5";"53";"4";"-";"-";"4";"29";"-";"49";"-";"1";"0";"13";"-";"0938";"Limburg";"Weinig stedelijk";"19739"
"Meerssen";"2008";"671";"115";"48";"-";"224";"100";"19";"13";"2";"-";"-";"-";"-";"-";"5";"55";"3";"-";"-";"5";"27";"-";"41";"-";"1";"1";"11";"-";"0938";"Limburg";"Weinig stedelijk";"19744"
"Meerssen";"2009";"647";"113";"46";"-";"220";"93";"22";"12";"2";"-";"-";"-";"-";"-";"6";"55";"3";"-";"-";"6";"24";"-";"36";"-";"1";"0";"8";"-";"0938";"Limburg";"Weinig stedelijk";"19695"
"Meerssen";"2010";"619";"100";"45";"-";"206";"92";"25";"12";"2";"-";"-";"11";"-";"-";"5";"38";"4";"-";"-";"5";"26";"-";"37";"-";"1";"0";"8";"-";"0938";"Limburg";"Weinig stedelijk";"19565"
"Meerssen";"2011";"681";"100";"46";"-";"217";"91";"28";"11";"2";"-";"-";"16";"-";"-";"5";"39";"1";"-";"-";"6";"31";"-";"65";"-";"1";"1";"21";"-";"0938";"Limburg";"Weinig stedelijk";"19495"
"Meerssen";"2012*";"659";"96";"38";"-";"219";"84";"25";"9";"2";"-";"-";"16";"-";"-";"6";"48";"2";"-";"-";"5";"23";"-";"59";"-";"1";"0";"27";"-";"0938";"Limburg";"Weinig stedelijk";"19430"
"Meijel";"2002";"601";"155";"58";"-";"122";"74";"26";"6";"1";"-";"-";"-";".";".";"4";"56";"4";"-";"-";"-";"18";".";"75";"-";"2";"-";"-";"-";"0941";"Limburg";"Niet stedelijk";"5812"
"Meijel";"2003";"536";"161";"48";"-";"113";"72";"23";"6";"1";"-";"-";"-";".";".";"4";"27";"5";"-";"-";"14";"16";".";"45";"-";"2";"-";"-";"-";"0941";"Limburg";"Niet stedelijk";"5828"
"Meijel";"2004";"477";"157";"18";"-";"127";"69";"26";"7";"0";"1";"-";"1";".";".";"3";"21";"4";"-";"-";"8";"12";".";"17";"-";"7";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5830"
"Meijel";"2005";"409";"117";"18";"-";"106";"69";"26";"6";"1";"2";"-";"4";".";".";"4";"12";"4";"-";"-";"7";"11";".";"15";"-";"5";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5851"
"Meijel";"2006";"423";"125";"21";"-";"106";"78";"25";"7";"1";"3";"-";"5";".";".";"3";"11";"3";"-";"1";"6";"14";".";"11";"-";"4";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5857"
"Meijel";"2007";"445";"130";"21";"-";"113";"78";"26";"6";"2";"3";"-";"4";"-";"-";"5";"12";"2";"-";"1";"7";"14";"3";"18";"-";"2";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5871"
"Meijel";"2008";"469";"137";"18";"-";"110";"86";"29";"6";"2";"3";"-";"4";"-";"-";"5";"24";"2";"-";"1";"7";"11";"2";"15";"-";"9";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5956"
"Meijel";"2009";"458";"139";"19";"-";"107";"81";"27";"8";"2";"3";"-";"6";"-";"-";".";"24";"1";"-";"1";"9";"10";"2";"11";"-";"6";"0";"-";"-";"0941";"Limburg";"Niet stedelijk";"5985"
"Meijel";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Meijel";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Meijel";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menaldumadeel";"2002";"646";"181";"35";"41";"184";"83";"22";"4";"2";"-";"-";"-";".";".";"4";"74";"-";"-";"1";"3";"-";".";"12";"-";"1";"0";"-";"-";"0083";"Friesland";"Niet stedelijk";"14256"
"Menaldumadeel";"2003";"624";"189";"32";"31";"166";"84";"21";".";"2";"-";"-";"-";".";".";".";"76";"-";"-";"-";"2";"-";".";"11";"-";"1";"0";"-";"-";"0083";"Friesland";"Niet stedelijk";"14089"
"Menaldumadeel";"2004";"663";"190";"26";"31";"202";"88";"21";".";"2";"-";"-";"-";".";".";"3";"75";"-";"-";"-";"3";"-";".";"14";"-";"1";"0";"-";"-";"0083";"Friesland";"Niet stedelijk";"14017"
"Menaldumadeel";"2005";"665";"197";"25";"9";"197";"88";"20";".";"2";"-";"-";"-";".";".";"3";"75";"-";"-";"-";"4";"21";".";"17";"-";"2";"0";"-";"-";"0083";"Friesland";"Niet stedelijk";"13967"
"Menaldumadeel";"2006";"684";"207";"22";"7";"196";"91";"20";"4";"1";"-";"-";"-";".";".";"4";"80";"-";"1";"1";"3";"22";".";"17";"0";"1";"0";"-";"5";"0083";"Friesland";"Niet stedelijk";"13884"
"Menaldumadeel";"2007";"683";"189";"29";"6";"184";"93";"20";"4";"1";"-";"-";"-";"0";"-";"4";"97";"-";"0";"1";"3";"21";"4";"20";"1";"1";"0";"-";"3";"0083";"Friesland";"Niet stedelijk";"13809"
"Menaldumadeel";"2008";"687";"199";"21";"5";"188";"94";"19";"5";"1";"-";"-";"-";"1";"-";"4";"91";"-";"2";"1";"3";"21";"4";"21";"1";"1";"-";"0";"3";"0083";"Friesland";"Niet stedelijk";"13710"
"Menaldumadeel";"2009";"704";"196";"23";"6";"200";"90";"18";"5";"1";"-";"-";"-";"0";"-";"5";"92";"-";"2";"1";"4";"22";"4";"24";"1";"1";"0";"6";"2";"0083";"Friesland";"Niet stedelijk";"13708"
"Menaldumadeel";"2010";"691";"198";"23";"6";"191";"88";"18";"4";"2";"-";"-";"-";".";"-";"5";"94";"-";"2";"1";"4";"20";"3";"22";"1";"1";"0";"4";"2";"0083";"Friesland";"Niet stedelijk";"13748"
"Menaldumadeel";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menaldumadeel";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2002";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2003";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2004";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2005";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Menameradiel";"2011";".";"200";"23";"6";"196";"92";"18";"3";"2";"-";"-";"-";"-";"-";"12";".";"-";".";".";"11";"21";"3";"22";"2";"5";"0";"4";"-";"1908";"Friesland";"Niet stedelijk";"13774"
"Menameradiel";"2012*";"834";"187";"48";"14";"177";"92";"16";"4";"4";"-";"-";"-";"-";"-";"11";"133";"-";".";"1";"10";"50";"9";"55";"3";"4";"0";"9";"5";"1908";"Friesland";"Niet stedelijk";"13773"
